id,year,issue_d,final_d,emp_length_int,home_ownership,home_ownership_cat,income_category,annual_inc,income_cat,loan_amount,term,term_cat,application_type,application_type_cat,purpose,purpose_cat,interest_payments,interest_payment_cat,loan_condition,loan_condition_cat,interest_rate,grade,grade_cat,dti,total_pymnt,total_rec_prncp,recoveries,installment,region
376490,2009,01/01/2009,1022012,6.0,MORTGAGE,3,Low,57000,1,4000, 36 months,1,INDIVIDUAL,1,other,4,Low,1,Good Loan,0,8.0,A,1,12.21,4511.45,4000.0,0.0,125.35,Northern-Irl
461675,2010,01/01/2010,1022013,5.0,MORTGAGE,3,Low,72000,1,6600, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,7.88,A,1,9.62,7431.46,6600.0,0.0,206.45,ulster
662747,2011,01/01/2011,1072012,6.05,RENT,1,Low,34800,1,4000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,10.74,B,2,1.97,4486.83,3999.99,0.0,130.47,cannught
1120196,2012,01/01/2012,1022015,4.0,MORTGAGE,3,Low,100000,1,10000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,12.42,B,2,20.11,12026.32087,10000.0,0.0,334.16,leinster
3296499,2013,01/01/2013,1012016,10.0,RENT,1,Low,49000,1,22000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,17.27,C,3,29.78,27548.28,21212.23,0.0,787.32,ulster
11435650,2014,01/01/2014,1102015,3.0,MORTGAGE,3,Medium,104000,2,32000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,9.67,B,2,19.36,35981.75,32000.0,0.0,1027.6,munster
40390412,2015,01/01/2015,1122015,0.5,RENT,1,Low,48000,1,5000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,12.39,C,3,14.25,5475.14,5000.0,0.0,167.01,cannught
267976,2008,01/02/2008,1042008,8.0,MORTGAGE,3,Low,72000,1,5000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,12.92,D,4,19.67,5053.88,5000.0,0.0,168.28,ulster
382509,2009,01/02/2009,1112010,1.0,RENT,1,Low,67500,1,3000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,9.32,A,1,6.9,3352.1,3000.0,0.0,95.85,ulster
489422,2010,01/02/2010,1032013,2.0,RENT,1,Low,70000,1,10000, 36 months,1,INDIVIDUAL,1,major_purchase,8,Low,1,Good Loan,0,7.88,A,1,5.42,11260.45,9999.99,0.0,312.81,Northern-Irl
665789,2011,01/02/2011,1072013,6.0,MORTGAGE,3,Medium,120000,2,9600, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,7.66,A,1,12.32,10707.14,9600.0,0.0,299.33,ulster
1162534,2012,01/02/2012,1012013,0.5,RENT,1,Low,21912,1,5000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,13.99,C,3,14.4,5476.0,5000.0,0.0,170.87,munster
3595108,2013,01/02/2013,1032014,1.0,MORTGAGE,3,Low,38000,1,10900, 60 months,2,INDIVIDUAL,1,home_improvement,7,High,2,Good Loan,0,23.76,F,6,17.11,13352.70835,10900.0,0.0,312.06,ulster
12527094,2014,01/02/2014,1082015,10.0,RENT,1,Low,39000,1,10000, 60 months,2,INDIVIDUAL,1,credit_card,1,High,2,Good Loan,0,15.31,C,3,20.4,11930.98,10000.0,0.0,239.53,cannught
41890461,2015,01/02/2015,1122015,6.0,MORTGAGE,3,Medium,140000,2,33000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,13.99,C,3,16.06,11225.8,7832.01,0.0,1127.71,Northern-Irl
317541,2008,01/03/2008,1032011,2.0,RENT,1,Low,48000,1,3000, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,9.76,B,2,17.65,3471.82,3000.0,0.0,96.47,Northern-Irl
388700,2009,01/03/2009,1042012,10.0,RENT,1,Low,52526,1,18000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,12.21,B,2,13.36,21586.98,17999.96,0.0,599.67,Northern-Irl
499328,2010,01/03/2010,1042013,6.0,RENT,1,Low,27599,1,3000, 36 months,1,INDIVIDUAL,1,other,4,Low,1,Good Loan,0,10.25,B,2,4.39,3495.37,3000.0,0.0,97.16,Northern-Irl
713448,2011,01/03/2011,1072013,2.0,MORTGAGE,3,Low,95004,1,10000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,15.28,D,4,5.43,12339.04,9999.99,0.0,348.03,Northern-Irl
1209821,2012,01/03/2012,1122015,10.0,MORTGAGE,3,Low,100000,1,35000, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,21.48,E,5,18.2,53074.27374,35000.0,0.0,956.35,Northern-Irl
3931292,2013,01/03/2013,1112013,2.0,RENT,1,Low,67000,1,5000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,19.05,D,4,3.21,5519.92,5000.0,0.0,183.41,ulster
13316524,2014,01/03/2014,1092014,10.0,MORTGAGE,3,Low,40000,1,9000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,10.99,B,2,18.72,9392.513604,9000.0,0.0,294.61,ulster
44429213,2015,01/03/2015,1122015,10.0,RENT,1,Low,30000,1,10000, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,15.61,D,4,32.96,2161.41,1052.94,0.0,241.12,ulster
345705,2008,01/04/2008,1052011,7.0,MORTGAGE,3,Low,45000,1,7500, 36 months,1,INDIVIDUAL,1,other,4,Low,1,Good Loan,0,8.0,A,1,7.17,8460.61,7500.0,0.0,235.03,cannught
399423,2009,01/04/2009,1012012,2.0,RENT,1,Low,57504,1,3200, 36 months,1,INDIVIDUAL,1,other,4,Low,1,Good Loan,0,7.68,A,1,9.24,3584.79,3200.0,0.0,99.81,Northern-Irl
509895,2010,01/04/2010,1052013,5.0,RENT,1,Low,38400,1,1000, 36 months,1,INDIVIDUAL,1,major_purchase,8,High,2,Good Loan,0,14.22,C,3,14.09,1233.52,1000.0,0.0,34.29,Northern-Irl
742124,2011,01/04/2011,1092012,4.0,MORTGAGE,3,Low,36000,1,5000, 36 months,1,INDIVIDUAL,1,home_improvement,7,High,2,Good Loan,0,14.79,C,3,15.2,5771.37,4999.99,0.0,172.82,leinster
1265070,2012,01/04/2012,1082012,4.0,OWN,2,Low,60000,1,1200, 36 months,1,INDIVIDUAL,1,home_improvement,7,High,2,Bad Loan,1,13.99,C,3,7.74,1081.7,1063.18,0.0,41.01,cannught
4569269,2013,01/04/2013,1012016,7.0,RENT,1,Low,43000,1,4625, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,8.9,A,1,7.42,4699.52,4048.35,0.0,146.86,leinster
14157826,2014,01/04/2014,1012016,3.0,MORTGAGE,3,Low,80000,1,20000, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,6.03,A,1,14.63,12174.4,10664.57,0.0,608.72,ulster
47644267,2015,01/04/2015,1012016,10.0,MORTGAGE,3,Medium,144000,2,30000, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,15.61,D,4,17.4,5734.69,2789.25,0.0,723.34,cannught
348522,2008,01/05/2008,1042009,0.5,RENT,1,Low,61000,1,1000, 36 months,1,INDIVIDUAL,1,other,4,Low,1,Good Loan,0,9.45,B,2,9.45,1070.0,1000.0,0.0,32.01,Northern-Irl
376737,2009,01/05/2009,1062012,6.0,RENT,1,Low,32000,1,3600, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,9.63,A,1,15.11,4158.74,3600.0,0.0,115.54,Northern-Irl
523016,2010,01/05/2010,1062013,9.0,MORTGAGE,3,Low,70392,1,1500, 36 months,1,INDIVIDUAL,1,other,4,Low,1,Good Loan,0,10.38,B,2,23.08,1751.95,1500.0,0.0,48.67,leinster
769643,2011,01/05/2011,1052012,5.0,MORTGAGE,3,Low,84000,1,6775, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Bad Loan,1,10.59,B,2,21.34,2592.65,1844.32,171.88,220.5,ulster
1318936,2012,01/05/2012,1062015,9.0,RENT,1,Low,80000,1,10525, 36 months,1,INDIVIDUAL,1,credit_card,1,High,2,Good Loan,0,18.55,D,4,2.1,13802.04697,10525.0,0.0,383.42,ulster
5085480,2013,01/05/2013,1012016,6.0,MORTGAGE,3,Low,44000,1,9000, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,13.11,B,2,8.86,9426.75,7530.19,0.0,303.73,leinster
17533102,2014,01/05/2014,1012016,10.0,MORTGAGE,3,Low,39500,1,3900, 36 months,1,INDIVIDUAL,1,vacation,11,High,2,Good Loan,0,19.52,E,5,20.54,2735.81,1776.57,0.0,143.99,leinster
50952300,2015,01/05/2015,1012016,7.0,RENT,1,Low,45000,1,10500, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,19.19,E,5,38.83,2107.74,893.34,0.0,273.48,ulster
87023,2007,01/06/2007,1062010,0.5,OWN,2,Low,22000,1,7500, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,13.75,E,5,14.29,9194.98,7500.0,0.0,255.43,Northern-Irl
349961,2008,01/06/2008,1052011,6.0,OWN,2,Low,48000,1,5000, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,10.08,B,2,3.33,5810.71,4999.99,0.0,161.53,munster
422275,2009,01/06/2009,1072012,6.0,RENT,1,Low,33000,1,3000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,10.95,B,2,7.42,3532.56,2999.99,0.0,98.15,cannught
539150,2010,01/06/2010,1072013,3.0,RENT,1,Low,75000,1,10000, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,11.86,B,2,13.95,11931.56,10000.0,0.0,331.48,Northern-Irl
801117,2011,01/06/2011,1062012,6.05,MORTGAGE,3,Low,26400,1,1000, 36 months,1,INDIVIDUAL,1,small_business,3,Low,1,Bad Loan,1,10.99,B,2,12.95,383.65,269.3,25.29,32.74,Northern-Irl
1377559,2012,01/06/2012,1072015,10.0,MORTGAGE,3,Low,53000,1,2500, 36 months,1,INDIVIDUAL,1,home_improvement,7,High,2,Good Loan,0,14.65,C,3,17.0,3103.178892000001,2500.0,0.0,86.24,leinster
5967191,2013,01/06/2013,1072015,0.5,MORTGAGE,3,Low,86000,1,34400, 60 months,2,INDIVIDUAL,1,medical,9,High,2,Bad Loan,1,24.08,F,6,19.5,23788.23,9161.86,0.0,991.22,cannught
20159237,2014,01/06/2014,1012016,8.0,RENT,1,Low,37000,1,10000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,22.15,E,5,28.51,6888.42,4184.49,0.0,382.69,ulster
53624987,2015,01/06/2015,1012016,2.0,RENT,1,Low,62000,1,6000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,11.53,B,2,12.45,3208.83,2862.28,0.0,197.95,ulster
112323,2007,01/07/2007,1092010,0.5,RENT,1,Low,20000,1,3500, 36 months,1,INDIVIDUAL,1,moving,10,Low,1,Good Loan,0,10.28,C,3,1.5,4096.26,3500.0,0.0,113.39,Northern-Irl
352484,2008,01/07/2008,1102009,5.0,RENT,1,Low,45000,1,15000, 36 months,1,INDIVIDUAL,1,other,4,Low,1,Bad Loan,1,10.96,B,2,1.33,7041.62,5065.45,422.42,472.81,Northern-Irl
431130,2009,01/07/2009,1042011,5.0,MORTGAGE,3,Low,65200,1,3000, 36 months,1,INDIVIDUAL,1,car,2,Low,1,Good Loan,0,11.26,B,2,17.21,3429.73,3000.0,0.0,98.59,leinster
556207,2010,01/07/2010,1082012,3.0,OWN,2,Low,50000,1,1500, 36 months,1,INDIVIDUAL,1,major_purchase,8,Low,1,Good Loan,0,11.49,B,2,16.44,1744.6,1500.0,0.0,49.46,Northern-Irl
832513,2011,01/07/2011,1082014,10.0,MORTGAGE,3,Medium,125000,2,5000, 36 months,1,INDIVIDUAL,1,other,4,Low,1,Good Loan,0,10.59,B,2,8.34,5856.876521,5000.0,0.0,162.73,Northern-Irl
1441368,2012,01/07/2012,1112012,10.0,RENT,1,Low,50000,1,3075, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Bad Loan,1,19.05,D,4,15.84,502.82,194.5,165.32,112.8,cannught
6537395,2013,01/07/2013,1102015,0.5,RENT,1,Low,60000,1,5000, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,12.35,B,2,8.1,5800.592729,5000.0,0.0,166.91,ulster
19607604,2014,01/07/2014,1012016,10.0,RENT,1,Low,55000,1,3000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,14.99,C,3,23.61,1767.83,1251.13,0.0,103.99,cannught
57185279,2015,01/07/2015,1012016,9.0,RENT,1,Low,52000,1,14000, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,10.99,B,2,11.72,2274.3,1680.82,0.0,458.28,munster
123230,2007,01/08/2007,1032008,0.5,OWN,2,Low,15000,1,3175, 36 months,1,INDIVIDUAL,1,small_business,3,Low,1,Bad Loan,1,11.54,C,3,12.24,628.19,455.95,0.0,104.76,Northern-Irl
354273,2008,01/08/2008,1102011,4.0,RENT,1,Low,38000,1,1500, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,8.32,A,1,2.53,1715.39,1500.0,0.0,47.23,Northern-Irl
437580,2009,01/08/2009,1022011,6.0,RENT,1,Low,55000,1,10000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,8.94,A,1,19.75,11009.17,10000.0,0.0,317.72,Northern-Irl
573115,2010,01/08/2010,1102011,3.0,MORTGAGE,3,Low,70000,1,3000, 60 months,2,INDIVIDUAL,1,home_improvement,7,High,2,Bad Loan,1,19.04,F,6,0.69,1128.01,432.08,118.82,77.89,Northern-Irl
867869,2011,01/08/2011,1092014,4.0,MORTGAGE,3,Low,92000,1,1400, 36 months,1,INDIVIDUAL,1,other,4,Low,1,Good Loan,0,5.99,A,1,6.39,1532.9289720000004,1400.0,0.0,42.59,Northern-Irl
1503155,2012,01/08/2012,1112012,3.0,MORTGAGE,3,Low,45000,1,2125, 36 months,1,INDIVIDUAL,1,home_improvement,7,High,2,Good Loan,0,17.27,C,3,15.88,2185.41,2125.0,0.0,76.05,munster
6735016,2013,01/08/2013,1012016,2.0,MORTGAGE,3,Medium,175000,2,14000, 36 months,1,INDIVIDUAL,1,credit_card,1,High,2,Good Loan,0,13.68,C,3,22.75,13336.11,10351.81,0.0,476.32,Northern-Irl
26228431,2014,01/08/2014,1012016,3.0,MORTGAGE,3,Medium,120000,2,17000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,14.99,C,3,11.91,9427.68,6629.19,0.0,589.23,ulster
59491157,2015,01/08/2015,1012016,1.0,MORTGAGE,3,Low,52000,1,21425, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,13.33,C,3,23.9,1948.61,1029.49,0.0,491.12,cannught
129745,2007,01/09/2007,1102010,3.0,RENT,1,Medium,120000,2,10000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,10.28,C,3,14.4,11662.93,10000.0,0.0,323.99,leinster
356756,2008,01/09/2008,1072009,1.0,RENT,1,Low,35000,1,1000, 36 months,1,INDIVIDUAL,1,other,4,Low,1,Bad Loan,1,11.28,C,3,15.69,331.04,219.38,35.21,32.88,leinster
444881,2009,01/09/2009,1032012,1.0,RENT,1,Low,46000,1,7000, 36 months,1,INDIVIDUAL,1,other,4,Low,1,Good Loan,0,7.4,A,1,23.87,7788.26,7000.0,0.0,217.42,ulster
590214,2010,01/09/2010,1112011,4.0,OWN,2,Low,50000,1,10000, 36 months,1,INDIVIDUAL,1,wedding,5,High,2,Good Loan,0,15.95,D,4,1.51,11489.37,10000.0,0.0,351.33,ulster
970937,2011,01/09/2011,1102014,3.0,MORTGAGE,3,Low,40000,1,4000, 36 months,1,INDIVIDUAL,1,wedding,5,High,2,Good Loan,0,17.58,D,4,8.82,5171.491559,4000.0,0.0,143.77,Northern-Irl
1569924,2012,01/09/2012,1102015,8.0,MORTGAGE,3,Low,54000,1,8325, 36 months,1,INDIVIDUAL,1,home_improvement,7,High,2,Good Loan,0,15.31,C,3,7.82,10434.6034,8325.0,0.0,289.86,ulster
7495752,2013,01/09/2013,1072014,10.0,MORTGAGE,3,Low,54000,1,15000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Bad Loan,1,10.99,B,2,23.38,6043.6,3297.98,1629.79,491.01,cannught
29003494,2014,01/09/2014,1012016,5.0,MORTGAGE,3,High,324388,3,28000, 36 months,1,INDIVIDUAL,1,home_improvement,7,Low,1,Good Loan,0,7.12,A,1,9.35,12991.5,10946.99,0.0,866.1,leinster
60812861,2015,01/09/2015,1012016,10.0,RENT,1,Low,80000,1,12000, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,12.29,C,3,9.69,1192.53,840.57,0.0,400.24,Northern-Irl
143102,2007,01/10/2007,1112010,0.5,RENT,1,Low,38000,1,3000, 36 months,1,INDIVIDUAL,1,other,4,Low,1,Good Loan,0,10.28,C,3,19.93,3498.73,3000.0,0.0,97.2,leinster
360493,2008,01/10/2008,1042009,1.0,MORTGAGE,3,Low,90000,1,12000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,12.41,C,3,7.4,12208.02,12000.0,0.0,400.93,Northern-Irl
453688,2009,01/10/2009,1112012,0.5,OWN,2,Low,14400,1,2100, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,11.14,B,2,6.75,2480.03,2100.01,0.0,68.89,Northern-Irl
606429,2010,01/10/2010,1022011,2.0,MORTGAGE,3,Low,48000,1,1200, 36 months,1,INDIVIDUAL,1,home_improvement,7,Low,1,Bad Loan,1,12.98,C,3,17.75,120.99,83.04,0.0,40.43,cannught
1005153,2011,01/10/2011,1122011,7.0,RENT,1,Low,63372,1,3000, 36 months,1,INDIVIDUAL,1,car,2,Low,1,Good Loan,0,10.65,B,2,9.16,3027.12,3000.0,0.0,97.72,leinster
1680057,2012,01/10/2012,1042013,9.0,RENT,1,Low,70000,1,28350, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,19.72,D,4,28.89,30997.8,28350.0,0.0,1049.55,leinster
8576921,2013,01/10/2013,1012016,5.0,MORTGAGE,3,Low,85000,1,16000, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,6.03,A,1,28.39,12661.22,11262.28,0.0,486.97,ulster
33281802,2014,01/10/2014,1012016,10.0,MORTGAGE,3,Low,60000,1,6000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,9.17,B,2,28.4,2671.81,2140.31,0.0,191.28,munster
63702216,2015,01/10/2015,1012016,10.0,RENT,1,Low,37000,1,5000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,9.17,B,2,24.34,313.71,243.31,0.0,159.4,cannught
166546,2007,01/11/2007,1082008,10.0,RENT,1,Low,72000,1,3000, 36 months,1,INDIVIDUAL,1,major_purchase,8,Low,1,Good Loan,0,7.43,A,1,11.18,3135.5,3000.0,0.0,93.23,Northern-Irl
365567,2008,01/11/2008,1122011,3.0,RENT,1,Low,33996,1,2000, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,8.0,A,1,13.38,2255.76,2000.0,0.0,62.68,cannught
463130,2009,01/11/2009,1122012,3.0,RENT,1,Low,25000,1,3000, 36 months,1,INDIVIDUAL,1,major_purchase,8,Low,1,Good Loan,0,7.4,A,1,6.91,3353.21,3000.0,0.0,93.18,cannught
623868,2010,01/11/2010,1052011,2.0,RENT,1,Low,30000,1,11500, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Bad Loan,1,10.36,B,2,16.32,2319.92,1392.07,455.42,373.02,Northern-Irl
1046531,2011,01/11/2011,1022014,10.0,RENT,1,Low,55000,1,4500, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Bad Loan,1,14.27,C,3,18.92,4211.99,3045.41,205.17,154.4,leinster
2276376,2012,01/11/2012,1122015,10.0,RENT,1,Low,89000,1,35000, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,13.11,B,2,21.44,45623.75,35000.0,0.0,798.33,ulster
9134798,2013,01/11/2013,1122015,10.0,RENT,1,Low,62000,1,27250, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,20.2,D,4,18.53,18124.61,8192.74,0.0,725.0,Northern-Irl
36300558,2014,01/11/2014,1122015,7.0,MORTGAGE,3,Low,72860,1,15600, 36 months,1,INDIVIDUAL,1,home_improvement,7,Low,1,Good Loan,0,12.39,C,3,12.44,6752.3,4981.05,0.0,521.06,munster
65926732,2015,01/11/2015,1012016,6.0,MORTGAGE,3,Low,95000,1,10000, 60 months,2,INDIVIDUAL,1,major_purchase,8,Low,1,Good Loan,0,13.18,C,3,15.8,239.44,118.62,0.0,228.46,Northern-Irl
137106,2007,01/10/2007,1012008,0.5,OWN,2,Low,31000,1,4275, 36 months,1,INDIVIDUAL,1,other,4,Low,1,Good Loan,0,10.28,C,3,24.81,4382.28,4275.0,0.0,138.51,leinster
367337,2008,01/12/2008,1012009,4.0,MORTGAGE,3,Medium,115000,2,25000, 36 months,1,INDIVIDUAL,1,small_business,3,Low,1,Good Loan,0,12.53,C,3,13.74,25261.29,25000.0,0.0,836.66,cannught
468168,2009,01/12/2009,1012010,0.5,OWN,2,Low,55000,1,1000, 36 months,1,INDIVIDUAL,1,educational,14,Low,1,Good Loan,0,8.59,A,1,10.69,1007.19,1000.0,0.0,31.62,Northern-Irl
635010,2010,01/12/2010,1012011,4.0,RENT,1,Low,60000,1,15000, 36 months,1,INDIVIDUAL,1,moving,10,Low,1,Good Loan,0,6.17,A,1,1.72,15077.27,15000.0,0.0,457.49,Northern-Irl
1066635,2011,01/12/2011,1012012,5.0,MORTGAGE,3,Medium,140000,2,28000, 60 months,2,INDIVIDUAL,1,home_improvement,7,High,2,Good Loan,0,17.58,D,4,12.07,28411.15,28000.0,0.0,704.64,leinster
1068075,2011,01/12/2011,1012013,3.0,RENT,1,Low,31200,1,10000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,9.91,B,2,14.81,10904.24,10000.0,0.0,322.25,Northern-Irl
1069357,2011,01/12/2011,1012014,1.0,RENT,1,Low,45000,1,15000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,7.9,A,1,8.48,16662.6,15000.0,0.0,469.36,cannught
1075358,2011,01/12/2011,1012016,1.0,RENT,1,Low,80000,1,3000, 60 months,2,INDIVIDUAL,1,other,4,Low,1,Good Loan,0,12.69,B,2,17.94,3242.17,2233.1,0.0,67.79,ulster
146641,2007,01/11/2007,1022008,2.0,RENT,1,Low,52000,1,8000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,11.86,D,4,11.31,8231.55,8000.0,0.0,265.18,ulster
372839,2009,01/01/2009,1022009,7.0,MORTGAGE,3,Low,69000,1,15000, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,11.58,B,2,21.86,15145.29,15000.0,0.0,495.21,cannught
474397,2010,01/01/2010,1022010,0.5,RENT,1,Low,40000,1,12000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Bad Loan,1,12.87,C,3,19.32,403.34,274.68,0.0,403.6,cannught
651617,2011,01/01/2011,1022011,4.0,OWN,2,Low,36000,1,16000, 60 months,2,INDIVIDUAL,1,major_purchase,8,High,2,Good Loan,0,16.02,D,4,7.1,16215.0,16000.0,0.0,389.26,leinster
1068180,2011,01/12/2011,1022012,7.0,RENT,1,Low,49500,1,2500, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,14.27,C,3,10.33,2529.9,2500.0,0.0,85.78,leinster
1068322,2011,01/12/2011,1022013,3.0,MORTGAGE,3,Low,43680,1,7000, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,10.65,B,2,5.38,7687.73,7000.0,0.0,228.02,cannught
1069093,2011,01/12/2011,1022014,5.0,RENT,1,Low,30000,1,12500, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Bad Loan,1,17.27,D,4,13.16,5577.75,2812.82,22.5,223.11,cannught
