Order,File_Type,SKU_number,SoldFlag,SoldCount,MarketingType,ReleaseNumber,New_Release_Flag,StrengthFactor,PriceReg,ReleaseYear,ItemCount,LowUserPrice,LowNetPrice
2307,Historical,551206,0.0,0.0,D,27,1,555608.0,54.25,2012,18,44.66,51.62
141,Historical,864703,0.0,0.0,D,28,1,68930.0,43.95,2014,36,37.29,18.78
5330,Historical,867968,0.0,0.0,D,29,1,361113.0,79.75,2014,19,53.1,31.36
31,Historical,251957,0.0,0.0,D,3,1,1728372.0,70.95,2009,47,7.47,4.0
7847,Historical,610326,0.0,0.0,D,30,1,77127.0,54.95,2013,74,41.41,17.49
3466,Historical,804352,0.0,0.0,D,31,1,2360252.0,99.95,2007,21,68.8,364.97
20255,Historical,551202,0.0,0.0,D,32,1,2828097.0,46.0,2010,28,8.99,13.61
9544,Historical,56718,0.0,0.0,D,33,1,121937.0,13.03,2009,82,55.49,23.97
37135,Historical,545132,0.0,0.0,S,34,1,1461428.0,43.17,2011,15,44.95,12.37
929,Historical,160823,0.0,0.0,D,35,1,1836.0,26.0,1999,317,36.53,16.04
13813,Historical,532844,0.0,0.0,D,36,1,1288985.0,58.5,2012,43,55.91,49.41
9542,Historical,664607,1.0,1.0,D,37,1,22179.0,79.75,2013,49,55.49,13.28
53,Historical,111997,0.0,0.0,D,38,1,1576220.0,52.25,2011,37,7.5,12.43
13822,Historical,924328,0.0,0.0,D,39,1,311944.0,64.0,2015,28,55.91,48.3
6,Historical,115883,1.0,1.0,D,4,1,334011.0,100.0,2006,20,133.93,83.15
19035,Historical,159455,0.0,0.0,D,40,1,637337.0,249.0,2008,38,204.9,128.99
7517,Historical,1822554,0.0,0.0,D,41,1,229347.0,44.2,2014,25,0.0,17.42
43078,Historical,532845,0.0,0.0,S,42,1,1504221.0,52.25,2012,33,47.03,9.99
46422,Historical,898943,0.0,0.0,S,43,1,330094.0,49.95,2013,24,29.49,93.94
3120,Historical,647089,0.0,0.0,D,44,1,1400221.0,241.95,2012,15,53.94,106.37
55981,Historical,864749,0.0,0.0,S,45,1,575051.0,41.46,2014,34,6.59,38.96
44861,Historical,918227,0.0,0.0,S,46,1,3793317.0,360.0,2009,33,38.75,46.48
47917,Historical,1679832,0.0,0.0,S,47,1,2855074.0,54.95,2012,24,24.08,10.97
52544,Historical,612290,0.0,0.0,S,48,1,1648818.0,54.95,2013,30,24.08,18.38
52542,Historical,1679854,0.0,0.0,S,49,1,418032.0,54.95,2014,34,16.51,21.97
12,Historical,764270,0.0,0.0,D,5,1,6652211.0,49.95,2004,19,53.99,28.99
40838,Historical,772618,0.0,0.0,S,50,1,52286.0,38.0,2005,39,0.0,26.61
5239,Historical,106868,1.0,1.0,D,51,1,585837.0,75.0,2011,104,67.63,11.92
50893,Historical,531369,0.0,0.0,S,52,1,317706.0,79.0,2012,67,67.63,28.89
5237,Historical,610406,1.0,1.0,D,53,1,59586.0,79.0,2013,87,67.63,13.99
5238,Historical,609958,0.0,0.0,D,54,1,25056.0,85.0,2014,48,67.63,57.88
46722,Historical,3694508,0.0,0.0,S,56,1,22803.0,85.0,2016,0,0.0,66.47
62581,Historical,702516,0.0,0.0,S,57,1,599225.0,80.0,2013,49,5.44,5.48
62580,Historical,1437573,0.0,0.0,S,58,1,722907.0,80.0,2014,57,0.0,22.45
19,Historical,110699,1.0,1.0,D,6,1,383129.0,120.39,2007,69,170.45,78.99
83108,Historical,190066,0.0,0.0,S,60,1,55822.0,65.0,2007,15,0.0,38.96
54765,Historical,2016497,1.0,1.0,S,61,1,1073586.0,72.5,2012,40,64.53,75.47
125435,Active,527332,,,S,64,1,631097.0463,74.95,2009,15,6.37,17.97
49952,Historical,609771,0.0,0.0,S,65,1,887013.0,60.0,2006,53,40.09,35.51
62564,Historical,609772,1.0,1.0,S,66,1,608513.0,59.95,2009,27,40.09,43.94
118230,Active,864907,,,S,67,1,425848.16,34.99,2012,58,4.0,7.75
133678,Active,3959999,,,S,68,1,1960.5,34.95,2016,18,18.99,24.03
3,Historical,3255963,0.0,0.0,D,7,1,1016014.0,24.81,2005,39,0.0,15.54
118231,Active,3739782,,,S,70,1,31753.3,35.99,2015,18,10.74,14.98
78592,Historical,526351,0.0,0.0,S,75,1,1213896.0,39.0,2008,88,4.38,25.56
17,Historical,169222,0.0,0.0,D,8,1,2352021.0,129.95,2006,22,75.84,8.97
64116,Historical,583199,0.0,0.0,S,82,1,538894.0,129.95,2001,31,90.03,58.13
13,Historical,1597828,0.0,0.0,D,9,1,161348.0,36.95,2008,21,0.0,27.98
138267,Active,3960031,,,S,95,1,31657.05,29.99,2015,22,12.78,11.48
65840,Historical,548397,0.0,0.0,S,97,1,760842.0,149.3,1997,106,5.47,21.99
12801,Historical,608409,0.0,0.0,D,99,1,1716146.0,150.0,1996,19,110.98,44.95
153592,Active,294185,,,D,2,1,297256.0975,68.99,0,44,11.66,44.02
85289,Active,2299537,,,D,0,0,64282.0,124.36,1900,14,81.57,119.32
102786,Active,908212,,,D,10,1,1253981.87,54.5,1904,37,10.45,49.24
86435,Active,3269503,,,D,4,1,2896817.2,60.37,1905,25,10.07,60.37
111735,Active,907859,,,S,0,0,511256.56,26.0,1914,24,11.89,0.0
114116,Active,644315,,,S,2,1,263000.12,55.0,1922,23,10.77,0.0
187258,Active,867980,,,D,0,0,350496.9863,76.0,1923,32,5.08,46.94
104013,Active,2587634,,,D,0,0,1365983.675,100.0,1927,15,19.94,103.99
106658,Active,898928,,,D,0,0,753435.6975,26.0,1931,14,21.11,19.36
158808,Active,2588757,,,S,0,0,296653.925,44.99,1932,40,13.81,22.43
19064,Historical,617754,0.0,0.0,D,1,0,284583.0,65.0,1935,43,82.34,47.48
93492,Active,2343578,,,D,1,0,1754571.7980000002,112.9,1941,35,19.88,89.16
70294,Historical,556147,0.0,0.0,S,7,1,70309.0,71.0,1945,47,26.95,48.47
98595,Active,904283,,,D,0,0,1436387.688,105.0,1946,21,28.05,137.51
95202,Active,2568983,,,D,0,0,1295018.206,124.31,1948,17,13.86,90.16
105085,Active,887510,,,D,0,0,1463076.408,0.0,1949,6,18.97,0.0
9519,Historical,2339211,0.0,0.0,D,1,0,2322469.0,161.03,1950,33,0.0,87.24
85978,Active,871693,,,D,3,1,439037.9938,0.0,1951,25,25.49,0.0
8554,Historical,2421940,0.0,0.0,D,1,0,3417576.0,0.0,1952,17,55.29,54.53
24700,Historical,2556214,0.0,0.0,D,0,0,1858779.0,175.0,1953,18,43.96,110.75
2531,Historical,891025,0.0,0.0,D,1,0,3664063.0,400.0,1954,20,42.31,195.1
11279,Historical,903906,0.0,0.0,D,0,0,764703.0,26.0,1955,14,36.25,23.41
1404,Historical,2421428,0.0,0.0,D,0,0,3119395.0,0.0,1956,18,0.0,0.0
89592,Active,2402137,,,D,1,0,2993347.7860000003,0.0,1957,13,9.13,139.37
67796,Historical,555170,0.0,0.0,S,0,0,39763.0,49.95,1958,44,0.0,35.96
2060,Historical,902855,0.0,0.0,D,0,0,1547349.0,93.95,1959,17,38.94,93.69
34284,Historical,619643,0.0,0.0,D,1,0,209731.0,131.64,1960,45,58.99,73.03
30150,Historical,2339782,0.0,0.0,D,0,0,9525272.0,0.0,1961,8,4.47,0.0
545,Historical,869880,0.0,0.0,D,2,1,2210557.0,0.0,1962,14,83.87,152.83
10327,Historical,881805,0.0,0.0,D,0,0,2908530.0,21.0,1963,6,0.0,17.42
28149,Historical,2341541,0.0,0.0,D,2,1,416510.0,0.0,1964,25,48.39,73.25
201,Historical,2331490,1.0,1.0,D,1,0,1283466.0,102.59,1965,29,52.42,83.12
1373,Historical,2332917,0.0,0.0,D,1,0,1782699.0,135.78,1966,18,52.87,100.81
2348,Historical,889208,0.0,0.0,D,2,1,4564687.0,0.0,1967,15,75.08,60.15
9128,Historical,616248,0.0,0.0,D,1,0,272245.0,54.99,1968,39,0.0,35.2
1366,Historical,2323956,0.0,0.0,D,0,0,1614791.0,60.67,1969,17,0.0,59.13
2920,Historical,2559764,0.0,0.0,D,2,1,6877822.0,0.0,1970,19,62.47,53.37
8159,Historical,2302574,0.0,0.0,D,0,0,805286.0,64.0,1971,26,29.12,63.07
1392,Historical,2388804,0.0,0.0,D,1,0,14804653.0,0.0,1972,17,0.0,78.35
192,Historical,899627,1.0,1.0,D,0,0,3271251.0,0.0,1973,14,73.99,62.19
1367,Historical,2325542,0.0,0.0,D,3,1,5708044.0,0.0,1974,28,6.64,63.57
293,Historical,608348,1.0,2.0,D,2,1,375965.0,0.0,1975,31,77.98,148.59
398,Historical,870579,0.0,0.0,D,3,1,1681267.0,0.0,1976,26,40.08,69.47
979,Historical,2423280,0.0,0.0,D,1,0,3476023.0,116.7,1977,45,15.75,47.47
142,Historical,2507677,1.0,1.0,D,2,1,2050319.0,42.86,1978,44,0.0,43.52
27,Historical,2387463,1.0,1.0,D,6,1,270193.0,0.0,1979,22,141.98,76.22
128,Historical,607618,0.0,0.0,D,2,1,162623.0,127.0,1980,36,78.99,110.56
153,Historical,622505,0.0,0.0,D,2,1,3243372.0,42.0,1981,27,102.98,19.98
237,Historical,2560872,1.0,2.0,D,1,0,4858214.0,84.43,1982,30,63.94,57.87
230,Historical,2841191,1.0,2.0,D,0,0,7396469.0,4.0,1983,55,63.94,4.0
515,Historical,873457,1.0,2.0,D,0,0,4072611.0,0.0,1984,30,50.13,32.99
1372,Historical,2332758,0.0,0.0,D,3,1,5679229.0,123.4,1985,10,49.17,23.98
231,Historical,844117,0.0,0.0,D,7,1,254808.0,0.0,1986,34,147.99,49.94
404,Historical,2778692,0.0,0.0,D,2,1,2506480.0,0.0,1987,13,224.98,478.99
28,Historical,2398402,1.0,1.0,D,2,1,156638.0,98.95,1988,67,142.71,14.02
285,Historical,534102,1.0,1.0,D,2,1,69988.0,35.45,1989,83,34.99,23.49
113,Historical,909341,1.0,1.0,D,2,1,1408387.0,0.0,1990,22,44.75,56.23
50,Historical,909496,0.0,0.0,D,3,1,2979598.0,71.95,1991,19,53.46,14.62
38,Historical,569884,0.0,0.0,D,3,1,653610.0,74.95,1992,20,26.99,82.32
127,Historical,534071,1.0,1.0,D,2,1,1784322.0,79.8,1993,65,59.95,15.94
16,Historical,3016759,0.0,0.0,D,2,1,4323581.0,0.0,1994,26,0.0,61.85
49,Historical,906616,1.0,1.0,D,3,1,1948928.0,43.78,1995,32,60.98,27.58
35,Historical,547880,0.0,0.0,D,0,0,280195.0,168.25,1997,69,7.95,33.89
48,Historical,875765,1.0,1.0,D,2,1,648434.0,30.95,1998,70,46.07,9.48
52,Historical,920994,1.0,1.0,D,0,0,608444.0,26.5,1999,68,40.25,19.98
33,Historical,51449,0.0,0.0,D,8,1,3048814.0,46.75,2000,38,122.18,20.92
41,Historical,607243,0.0,0.0,D,3,1,2136904.0,106.67,2002,23,59.67,17.27
29,Historical,244942,1.0,1.0,D,9,1,1160035.0,177.95,2003,52,45.8,9.99
26,Historical,210920,0.0,0.0,D,1,0,54999.0,97.95,2009,34,42.35,63.98
8,Historical,214948,0.0,0.0,D,0,0,1783153.0,132.0,2011,33,138.98,13.64
24,Historical,178701,0.0,0.0,D,0,0,1814079.0,399.95,2012,34,71.79,91.9
1317,Historical,1995730,0.0,0.0,D,24,1,75064.0,199.99,2016,11,0.0,120.26
61732,Historical,3801175,0.0,0.0,S,4,1,1855626.0,69.95,2017,0,0.0,69.95
