stn_code,sampling_date,state,location,agency,type,so2,no2,rspm,spm,location_monitoring_station,pm2_5,date
520.0,04-02-14,Assam,Bongaigaon,Assam State Pollution Control Board,"Residential, Rural and other Areas",7.0,16.0,79.0,,"Barpara Office Building, Bongaigaon",,2014-02-04
233.0,04-02-15,Andhra Pradesh,Visakhapatnam,Andhra Pradesh State Pollution Control Board,Industrial Area,10.0,15.0,47.0,,"Industrial Estate, Marripalem, Visakhapatnam",,2015-02-04
748.0,04-03-14,Andhra Pradesh,Ananthapur,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5.0,10.0,92.0,,"Kamalanagar, Ananthapur",,2014-03-04
233.0,04-03-15,Andhra Pradesh,Visakhapatnam,Andhra Pradesh State Pollution Control Board,Industrial Area,6.0,11.0,110.0,,"Industrial Estate, Marripalem, Visakhapatnam",,2015-03-04
757.0,04-04-14,Andhra Pradesh,Rajahmundry,Andhra Pradesh State Pollution Control Board,Industrial Area,14.0,21.0,54.0,,"Staff Club Building, M/s A.P. Paper Mill, Rajahmundry",,2014-04-04
233.0,04-04-15,Andhra Pradesh,Visakhapatnam,Andhra Pradesh State Pollution Control Board,Industrial Area,14.0,24.0,62.0,,"Industrial Estate, Marripalem, Visakhapatnam",,2015-04-04
566.0,04-05-14,Assam,Daranga,Assam State Pollution Control Board,"Residential, Rural and other Areas",5.0,14.0,72.0,,"Daranga, Baska district, BATAD,Assam near Sandoop Jhankar town of Bhutan",,2014-05-04
233.0,04-05-15,Andhra Pradesh,Visakhapatnam,Andhra Pradesh State Pollution Control Board,Industrial Area,6.0,9.0,53.0,,"Industrial Estate, Marripalem, Visakhapatnam",,2015-05-04
748.0,04-06-14,Andhra Pradesh,Ananthapur,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5.0,10.0,104.0,,"Kamalanagar, Ananthapur",,2014-06-04
233.0,04-06-15,Andhra Pradesh,Visakhapatnam,Andhra Pradesh State Pollution Control Board,Industrial Area,7.0,13.0,43.0,,"Industrial Estate, Marripalem, Visakhapatnam",,2015-06-04
757.0,04-07-14,Andhra Pradesh,Rajahmundry,Andhra Pradesh State Pollution Control Board,Industrial Area,15.0,20.0,60.0,,"Staff Club Building, M/s A.P. Paper Mill, Rajahmundry",,2014-07-04
233.0,04-07-15,Andhra Pradesh,Visakhapatnam,Andhra Pradesh State Pollution Control Board,Industrial Area,6.0,9.0,34.0,,"Industrial Estate, Marripalem, Visakhapatnam",,2015-07-04
542.0,04-08-14,Assam,Bongaigaon,Assam State Pollution Control Board,"Residential, Rural and other Areas",7.0,14.0,43.0,,"Campus of Oil India Ltd. PS-6, Bongaigaon, Chirang",,2014-08-04
233.0,04-08-15,Andhra Pradesh,Visakhapatnam,Andhra Pradesh State Pollution Control Board,Industrial Area,7.0,16.0,62.0,,"Industrial Estate, Marripalem, Visakhapatnam",,2015-08-04
748.0,04-09-14,Andhra Pradesh,Ananthapur,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5.0,10.0,117.0,,"Kamalanagar, Ananthapur",,2014-09-04
233.0,04-09-15,Andhra Pradesh,Visakhapatnam,Andhra Pradesh State Pollution Control Board,Industrial Area,7.0,18.0,46.0,,"Industrial Estate, Marripalem, Visakhapatnam",,2015-09-04
757.0,04-10-14,Andhra Pradesh,Rajahmundry,Andhra Pradesh State Pollution Control Board,Industrial Area,14.0,18.0,102.0,,"Staff Club Building, M/s A.P. Paper Mill, Rajahmundry",,2014-10-04
233.0,04-10-15,Andhra Pradesh,Visakhapatnam,Andhra Pradesh State Pollution Control Board,Industrial Area,8.0,20.0,72.0,,"Industrial Estate, Marripalem, Visakhapatnam",,2015-10-04
748.0,04-11-14,Andhra Pradesh,Ananthapur,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5.0,10.0,92.0,,"Kamalanagar, Ananthapur",,2014-11-04
193.0,04-11-15,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",10.0,15.0,90.0,,"Head Office, Bamunimaidan, Guwahati",,2015-11-04
597.0,04-12-14,Assam,Nalbari,Assam State Pollution Control Board,"Residential, Rural and other Areas",7.0,16.0,103.0,,"Campus of PWD Rural Division, near Gordon Boy's GS School, Dist- Nalbari",,2014-12-04
233.0,04-12-15,Andhra Pradesh,Visakhapatnam,Andhra Pradesh State Pollution Control Board,Industrial Area,10.0,19.0,67.0,,"Industrial Estate, Marripalem, Visakhapatnam",,2015-12-04
757.0,05-01-14,Andhra Pradesh,Rajahmundry,Andhra Pradesh State Pollution Control Board,Industrial Area,13.0,18.0,56.0,,"Staff Club Building, M/s A.P. Paper Mill, Rajahmundry",,2014-01-05
389.0,05-01-15,Andhra Pradesh,Tirupati,Andhra Pradesh State Pollution Control Board,Sensitive Area,5.0,25.0,54.0,,"Regional Science Centre, Chittoor Bypass Road, Tirupati",,2015-01-05
520.0,05-02-14,Assam,Bongaigaon,Assam State Pollution Control Board,"Residential, Rural and other Areas",7.0,15.0,41.0,,"Barpara Office Building, Bongaigaon",,2014-02-05
193.0,05-02-15,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",8.0,14.0,71.0,,"Head Office, Bamunimaidan, Guwahati",,2015-02-05
748.0,05-03-14,Andhra Pradesh,Ananthapur,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5.0,10.0,96.0,,"Kamalanagar, Ananthapur",,2014-03-05
538.0,05-03-15,Assam,Dibrugarh,Assam State Pollution Control Board,"Residential, Rural and other Areas",8.0,14.0,138.0,,"Dibrugarh Office Building, Dibrugarh",,2015-03-05
757.0,05-04-14,Andhra Pradesh,Rajahmundry,Andhra Pradesh State Pollution Control Board,Industrial Area,14.0,21.0,54.0,,"Staff Club Building, M/s A.P. Paper Mill, Rajahmundry",,2014-04-05
339,05-04-15,Himachal Pradesh,Parwanoo,Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,2.0,,60.0,,"AC Office Building, Parwanoo",,2015-04-05
520.0,05-05-14,Assam,Bongaigaon,Assam State Pollution Control Board,"Residential, Rural and other Areas",6.0,14.0,39.0,,"Barpara Office Building, Bongaigaon",,2014-05-05
787.0,05-05-15,Arunachal Pradesh,Itanagar,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",,,75.0,,Compound of PCCF's Office building,,2015-05-05
748.0,05-06-14,Andhra Pradesh,Ananthapur,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5.0,10.0,74.0,,"Kamalanagar, Ananthapur",,2014-06-05
519.0,05-06-15,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",5.0,12.0,78.0,,"ITI Building, Gopinath Nagar, Guwahati",,2015-06-05
757.0,05-07-14,Andhra Pradesh,Rajahmundry,Andhra Pradesh State Pollution Control Board,Industrial Area,15.0,20.0,60.0,,"Staff Club Building, M/s A.P. Paper Mill, Rajahmundry",,2014-07-05
396.0,05-07-15,Maharashtra,Chandrapur,Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",4.0,16.0,38.0,,"Nagar Parishad, Chandrapur",,2015-07-05
542.0,05-08-14,Assam,Bongaigaon,Assam State Pollution Control Board,"Residential, Rural and other Areas",9.0,14.0,46.0,,"Campus of Oil India Ltd. PS-6, Bongaigaon, Chirang",,2014-08-05
193.0,05-08-15,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",6.0,9.0,65.0,,"Head Office, Bamunimaidan, Guwahati",,2015-08-05
748.0,05-09-14,Andhra Pradesh,Ananthapur,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5.0,10.0,50.0,,"Kamalanagar, Ananthapur",,2014-09-05
389.0,05-09-15,Andhra Pradesh,Tirupati,Andhra Pradesh State Pollution Control Board,Sensitive Area,4.0,10.0,63.0,,"Regional Science Centre, Chittoor Bypass Road, Tirupati",,2015-09-05
757.0,05-10-14,Andhra Pradesh,Rajahmundry,Andhra Pradesh State Pollution Control Board,Industrial Area,14.0,18.0,102.0,,"Staff Club Building, M/s A.P. Paper Mill, Rajahmundry",,2014-10-05
193.0,05-10-15,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",8.0,12.0,81.0,,"Head Office, Bamunimaidan, Guwahati",,2015-10-05
748.0,05-11-14,Andhra Pradesh,Ananthapur,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5.0,10.0,82.0,,"Kamalanagar, Ananthapur",,2014-11-05
233.0,05-11-15,Andhra Pradesh,Visakhapatnam,Andhra Pradesh State Pollution Control Board,Industrial Area,15.0,22.0,34.0,,"Industrial Estate, Marripalem, Visakhapatnam",,2015-11-05
520.0,05-12-14,Assam,Bongaigaon,Assam State Pollution Control Board,"Residential, Rural and other Areas",10.0,17.0,53.0,,"Barpara Office Building, Bongaigaon",,2014-12-05
389.0,05-12-15,Andhra Pradesh,Tirupati,Andhra Pradesh State Pollution Control Board,Sensitive Area,5.0,10.0,63.0,,"Regional Science Centre, Chittoor Bypass Road, Tirupati",,2015-12-05
757.0,06-01-14,Andhra Pradesh,Rajahmundry,Andhra Pradesh State Pollution Control Board,Industrial Area,13.0,18.0,56.0,,"Staff Club Building, M/s A.P. Paper Mill, Rajahmundry",,2014-01-06
193.0,06-01-15,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",7.0,12.0,77.0,,"Head Office, Bamunimaidan, Guwahati",,2015-01-06
520.0,06-02-14,Assam,Bongaigaon,Assam State Pollution Control Board,"Residential, Rural and other Areas",6.0,13.0,54.0,,"Barpara Office Building, Bongaigaon",,2014-02-06
389.0,06-02-15,Andhra Pradesh,Tirupati,Andhra Pradesh State Pollution Control Board,Sensitive Area,5.0,11.0,59.0,,"Regional Science Centre, Chittoor Bypass Road, Tirupati",,2015-02-06
748.0,06-03-14,Andhra Pradesh,Ananthapur,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5.0,10.0,81.0,,"Kamalanagar, Ananthapur",,2014-03-06
597.0,06-03-15,Assam,Nalbari,Assam State Pollution Control Board,"Residential, Rural and other Areas",7.0,14.0,139.0,,"Campus of PWD Rural Division, near Gordon Boy's GS School, Dist- Nalbari",,2015-03-06
757.0,06-04-14,Andhra Pradesh,Rajahmundry,Andhra Pradesh State Pollution Control Board,Industrial Area,14.0,21.0,54.0,,"Staff Club Building, M/s A.P. Paper Mill, Rajahmundry",,2014-04-06
389.0,06-04-15,Andhra Pradesh,Tirupati,Andhra Pradesh State Pollution Control Board,Sensitive Area,5.0,11.0,65.0,,"Regional Science Centre, Chittoor Bypass Road, Tirupati",,2015-04-06
193.0,06-05-14,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",6.0,12.0,100.0,,"Head Office, Bamunimaidan, Guwahati",,2014-05-06
193.0,06-05-15,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",7.0,14.0,103.0,,"Head Office, Bamunimaidan, Guwahati",,2015-05-06
748.0,06-06-14,Andhra Pradesh,Ananthapur,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5.0,10.0,61.0,,"Kamalanagar, Ananthapur",,2014-06-06
389.0,06-06-15,Andhra Pradesh,Tirupati,Andhra Pradesh State Pollution Control Board,Sensitive Area,5.0,11.0,68.0,,"Regional Science Centre, Chittoor Bypass Road, Tirupati",,2015-06-06
757.0,06-07-14,Andhra Pradesh,Rajahmundry,Andhra Pradesh State Pollution Control Board,Industrial Area,15.0,20.0,60.0,,"Staff Club Building, M/s A.P. Paper Mill, Rajahmundry",,2014-07-06
193.0,06-07-15,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",6.0,10.0,63.0,,"Head Office, Bamunimaidan, Guwahati",,2015-07-06
587.0,06-08-14,Assam,Lakhimpur,Assam State Pollution Control Board,"Residential, Rural and other Areas",6.0,14.0,41.0,,"Bazar Patti, North Lakhimpur Town,Lakhimpur, Assam",,2014-08-06
389.0,06-08-15,Andhra Pradesh,Tirupati,Andhra Pradesh State Pollution Control Board,Sensitive Area,5.0,12.0,63.0,,"Regional Science Centre, Chittoor Bypass Road, Tirupati",,2015-08-06
748.0,06-09-14,Andhra Pradesh,Ananthapur,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5.0,10.0,55.0,,"Kamalanagar, Ananthapur",,2014-09-06
29.0,06-09-15,Kerala,Kochi,Kerala State Pollution Control Board,Industrial Area,2.0,21.0,24.0,,"Eloor, Kochi",,2015-09-06
757.0,06-10-14,Andhra Pradesh,Rajahmundry,Andhra Pradesh State Pollution Control Board,Industrial Area,14.0,18.0,102.0,,"Staff Club Building, M/s A.P. Paper Mill, Rajahmundry",,2014-10-06
389.0,06-10-15,Andhra Pradesh,Tirupati,Andhra Pradesh State Pollution Control Board,Sensitive Area,4.0,10.0,56.0,,"Regional Science Centre, Chittoor Bypass Road, Tirupati",,2015-10-06
748.0,06-11-14,Andhra Pradesh,Ananthapur,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5.0,10.0,56.0,,"Kamalanagar, Ananthapur",,2014-11-06
193.0,06-11-15,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",9.0,13.0,92.0,,"Head Office, Bamunimaidan, Guwahati",,2015-11-06
583.0,06-12-14,Andhra Pradesh,Guntur,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5.0,23.0,78.0,,"Near Hindu College, Market Road, Guntur",,2014-12-06
405.0,06-12-15,Karnataka,Bangalore,Karnataka State Pollution Control Board,Industrial Area,2.0,14.0,80.0,,"Peenya Industrial Area, Bangalore",,2015-12-06
757.0,07-01-14,Andhra Pradesh,Rajahmundry,Andhra Pradesh State Pollution Control Board,Industrial Area,7.0,16.0,72.0,,"Staff Club Building, M/s A.P. Paper Mill, Rajahmundry",,2014-01-07
233.0,07-01-15,Andhra Pradesh,Visakhapatnam,Andhra Pradesh State Pollution Control Board,Industrial Area,9.0,15.0,29.0,,"Industrial Estate, Marripalem, Visakhapatnam",,2015-01-07
520.0,07-02-14,Assam,Bongaigaon,Assam State Pollution Control Board,"Residential, Rural and other Areas",9.0,12.0,40.0,,"Barpara Office Building, Bongaigaon",,2014-02-07
233.0,07-02-15,Andhra Pradesh,Visakhapatnam,Andhra Pradesh State Pollution Control Board,Industrial Area,9.0,14.0,53.0,,"Industrial Estate, Marripalem, Visakhapatnam",,2015-02-07
748.0,07-03-14,Andhra Pradesh,Ananthapur,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5.0,10.0,77.0,,"Kamalanagar, Ananthapur",,2014-03-07
233.0,07-03-15,Andhra Pradesh,Visakhapatnam,Andhra Pradesh State Pollution Control Board,Industrial Area,6.0,10.0,91.0,,"Industrial Estate, Marripalem, Visakhapatnam",,2015-03-07
757.0,07-04-14,Andhra Pradesh,Rajahmundry,Andhra Pradesh State Pollution Control Board,Industrial Area,8.0,17.0,70.0,,"Staff Club Building, M/s A.P. Paper Mill, Rajahmundry",,2014-04-07
233.0,07-04-15,Andhra Pradesh,Visakhapatnam,Andhra Pradesh State Pollution Control Board,Industrial Area,6.0,13.0,54.0,,"Industrial Estate, Marripalem, Visakhapatnam",,2015-04-07
538.0,07-05-14,Assam,Dibrugarh,Assam State Pollution Control Board,"Residential, Rural and other Areas",4.0,12.0,84.0,,"Dibrugarh Office Building, Dibrugarh",,2014-05-07
233.0,07-05-15,Andhra Pradesh,Visakhapatnam,Andhra Pradesh State Pollution Control Board,Industrial Area,10.0,29.0,54.0,,"Industrial Estate, Marripalem, Visakhapatnam",,2015-05-07
748.0,07-06-14,Andhra Pradesh,Ananthapur,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5.0,10.0,94.0,,"Kamalanagar, Ananthapur",,2014-06-07
233.0,07-06-15,Andhra Pradesh,Visakhapatnam,Andhra Pradesh State Pollution Control Board,Industrial Area,7.0,22.0,41.0,,"Industrial Estate, Marripalem, Visakhapatnam",,2015-06-07
757.0,07-07-14,Andhra Pradesh,Rajahmundry,Andhra Pradesh State Pollution Control Board,Industrial Area,9.0,18.0,73.0,,"Staff Club Building, M/s A.P. Paper Mill, Rajahmundry",,2014-07-07
233.0,07-07-15,Andhra Pradesh,Visakhapatnam,Andhra Pradesh State Pollution Control Board,Industrial Area,9.0,23.0,38.0,,"Industrial Estate, Marripalem, Visakhapatnam",,2015-07-07
542.0,07-08-14,Assam,Bongaigaon,Assam State Pollution Control Board,"Residential, Rural and other Areas",8.0,12.0,27.0,,"Campus of Oil India Ltd. PS-6, Bongaigaon, Chirang",,2014-08-07
233.0,07-08-15,Andhra Pradesh,Visakhapatnam,Andhra Pradesh State Pollution Control Board,Industrial Area,8.0,17.0,56.0,,"Industrial Estate, Marripalem, Visakhapatnam",,2015-08-07
748.0,07-09-14,Andhra Pradesh,Ananthapur,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5.0,10.0,66.0,,"Kamalanagar, Ananthapur",,2014-09-07
233.0,07-09-15,Andhra Pradesh,Visakhapatnam,Andhra Pradesh State Pollution Control Board,Industrial Area,8.0,18.0,34.0,,"Industrial Estate, Marripalem, Visakhapatnam",,2015-09-07
750.0,07-10-14,Andhra Pradesh,Eluru,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",,,88.0,,"ASRAM Diagnostic Center, Eluru",,2014-10-07
233.0,07-10-15,Andhra Pradesh,Visakhapatnam,Andhra Pradesh State Pollution Control Board,Industrial Area,7.0,20.0,64.0,,"Industrial Estate, Marripalem, Visakhapatnam",,2015-10-07
748.0,07-11-14,Andhra Pradesh,Ananthapur,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5.0,10.0,61.0,,"Kamalanagar, Ananthapur",,2014-11-07
233.0,07-11-15,Andhra Pradesh,Visakhapatnam,Andhra Pradesh State Pollution Control Board,Industrial Area,6.0,12.0,44.0,,"Industrial Estate, Marripalem, Visakhapatnam",,2015-11-07
750.0,07-12-14,Andhra Pradesh,Eluru,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",,,80.0,,"ASRAM Diagnostic Center, Eluru",,2014-12-07
233.0,07-12-15,Andhra Pradesh,Visakhapatnam,Andhra Pradesh State Pollution Control Board,Industrial Area,8.0,20.0,52.0,,"Industrial Estate, Marripalem, Visakhapatnam",,2015-12-07
750.0,08-01-14,Andhra Pradesh,Eluru,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",,,85.0,,"ASRAM Diagnostic Center, Eluru",,2014-01-08
389.0,08-01-15,Andhra Pradesh,Tirupati,Andhra Pradesh State Pollution Control Board,Sensitive Area,5.0,11.0,56.0,,"Regional Science Centre, Chittoor Bypass Road, Tirupati",,2015-01-08
519.0,08-02-14,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",6.0,14.0,22.0,,"ITI Building, Gopinath Nagar, Guwahati",,2014-02-08
SAMP,08-02-15,Gujarat,Bharuch,Gujarat State Pollution Control Board,RIRUO,15.0,22.0,92.0,,"Dahez SEZ Part II Office,Bharuch",33.0,2015-02-08
748.0,08-03-14,Andhra Pradesh,Ananthapur,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5.0,10.0,60.0,,"Kamalanagar, Ananthapur",,2014-03-08
SAMP,08-03-15,Gujarat,Bharuch,Gujarat State Pollution Control Board,RIRUO,15.0,21.0,94.0,,"Dahez SEZ Part II Office,Bharuch",32.0,2015-03-08
750.0,08-04-14,Andhra Pradesh,Eluru,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",,,94.0,,"ASRAM Diagnostic Center, Eluru",,2014-04-08
193.0,08-04-15,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",11.0,19.0,237.0,,"Head Office, Bamunimaidan, Guwahati",,2015-04-08
787.0,08-05-14,Arunachal Pradesh,Itanagar,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2.0,5.0,2.0,,Compound of PCCF's Office building,,2014-05-08
193.0,08-05-15,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",7.0,13.0,93.0,,"Head Office, Bamunimaidan, Guwahati",,2015-05-08
748.0,08-06-14,Andhra Pradesh,Ananthapur,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5.0,11.0,55.0,,"Kamalanagar, Ananthapur",,2014-06-08
193.0,08-06-15,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",8.0,13.0,66.0,,"Head Office, Bamunimaidan, Guwahati",,2015-06-08
750.0,08-07-14,Andhra Pradesh,Eluru,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",,,92.0,,"ASRAM Diagnostic Center, Eluru",,2014-07-08
193.0,08-07-15,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",7.0,11.0,73.0,,"Head Office, Bamunimaidan, Guwahati",,2015-07-08
742.0,08-08-14,Andhra Pradesh,Chittoor,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6.0,11.0,72.0,,"Near Nutrine Confectionery, Palamaner Road, Chittor",,2014-08-08
567.0,08-08-15,Assam,Silcher,Assam State Pollution Control Board,"Residential, Rural and other Areas",5.0,12.0,63.0,,"Office building of RLO, near Ithkola Market, Ghaniwala road",,2015-08-08
748.0,08-09-14,Andhra Pradesh,Ananthapur,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5.0,10.0,57.0,,"Kamalanagar, Ananthapur",,2014-09-08
193.0,08-09-15,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",6.0,10.0,69.0,,"Head Office, Bamunimaidan, Guwahati",,2015-09-08
750.0,08-10-14,Andhra Pradesh,Eluru,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",,,90.0,,"ASRAM Diagnostic Center, Eluru",,2014-10-08
193.0,08-10-15,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",7.0,12.0,82.0,,"Head Office, Bamunimaidan, Guwahati",,2015-10-08
748.0,08-11-14,Andhra Pradesh,Ananthapur,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5.0,10.0,68.0,,"Kamalanagar, Ananthapur",,2014-11-08
462.0,08-11-15,Andhra Pradesh,Vijayawada,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5.0,51.0,99.0,,"Benz Circle, Vijayawada",,2015-11-08
787.0,08-12-14,Arunachal Pradesh,Itanagar,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2.0,5.0,35.0,,Compound of PCCF's Office building,,2014-12-08
787.0,08-12-15,Arunachal Pradesh,Itanagar,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",9.0,11.0,108.0,,Compound of PCCF's Office building,,2015-12-08
751.0,09-01-14,Andhra Pradesh,Srikakulam,Andhra Pradesh State Pollution Control Board,Industrial Area,11.0,12.0,59.0,,"IDA, Pydibheemavaram, Srikakulam",,2014-01-09
193.0,09-01-15,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",7.0,13.0,74.0,,"Head Office, Bamunimaidan, Guwahati",,2015-01-09
520.0,09-02-14,Assam,Bongaigaon,Assam State Pollution Control Board,"Residential, Rural and other Areas",5.0,11.0,62.0,,"Barpara Office Building, Bongaigaon",,2014-02-09
389.0,09-02-15,Andhra Pradesh,Tirupati,Andhra Pradesh State Pollution Control Board,Sensitive Area,5.0,11.0,56.0,,"Regional Science Centre, Chittoor Bypass Road, Tirupati",,2015-02-09
748.0,09-03-14,Andhra Pradesh,Ananthapur,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5.0,10.0,85.0,,"Kamalanagar, Ananthapur",,2014-03-09
193.0,09-03-15,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",9.0,15.0,173.0,,"Head Office, Bamunimaidan, Guwahati",,2015-03-09
751.0,09-04-14,Andhra Pradesh,Srikakulam,Andhra Pradesh State Pollution Control Board,Industrial Area,11.0,21.0,49.0,,"IDA, Pydibheemavaram, Srikakulam",,2014-04-09
389.0,09-04-15,Andhra Pradesh,Tirupati,Andhra Pradesh State Pollution Control Board,Sensitive Area,5.0,11.0,59.0,,"Regional Science Centre, Chittoor Bypass Road, Tirupati",,2015-04-09
750.0,09-05-14,Andhra Pradesh,Eluru,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",,,81.0,,"ASRAM Diagnostic Center, Eluru",,2014-05-09
538.0,09-05-15,Assam,Dibrugarh,Assam State Pollution Control Board,"Residential, Rural and other Areas",9.0,17.0,22.0,,"Dibrugarh Office Building, Dibrugarh",,2015-05-09
748.0,09-06-14,Andhra Pradesh,Ananthapur,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5.0,11.0,32.0,,"Kamalanagar, Ananthapur",,2014-06-09
389.0,09-06-15,Andhra Pradesh,Tirupati,Andhra Pradesh State Pollution Control Board,Sensitive Area,5.0,12.0,70.0,,"Regional Science Centre, Chittoor Bypass Road, Tirupati",,2015-06-09
750.0,09-07-14,Andhra Pradesh,Eluru,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",,,83.0,,"ASRAM Diagnostic Center, Eluru",,2014-07-09
389.0,09-07-15,Andhra Pradesh,Tirupati,Andhra Pradesh State Pollution Control Board,Sensitive Area,5.0,12.0,75.0,,"Regional Science Centre, Chittoor Bypass Road, Tirupati",,2015-07-09
753.0,09-08-14,Andhra Pradesh,Ongole,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4.0,22.0,62.0,,"Near Court Centre, Ongole, Parkasam District",,2014-08-09
389.0,09-08-15,Andhra Pradesh,Tirupati,Andhra Pradesh State Pollution Control Board,Sensitive Area,5.0,12.0,62.0,,"Regional Science Centre, Chittoor Bypass Road, Tirupati",,2015-08-09
748.0,09-09-14,Andhra Pradesh,Ananthapur,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5.0,10.0,85.0,,"Kamalanagar, Ananthapur",,2014-09-09
193.0,09-09-15,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",6.0,11.0,72.0,,"Head Office, Bamunimaidan, Guwahati",,2015-09-09
751.0,09-10-14,Andhra Pradesh,Srikakulam,Andhra Pradesh State Pollution Control Board,Industrial Area,12.0,18.0,59.0,,"IDA, Pydibheemavaram, Srikakulam",,2014-10-09
389.0,09-10-15,Andhra Pradesh,Tirupati,Andhra Pradesh State Pollution Control Board,Sensitive Area,4.0,10.0,57.0,,"Regional Science Centre, Chittoor Bypass Road, Tirupati",,2015-10-09
748.0,09-11-14,Andhra Pradesh,Ananthapur,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5.0,10.0,73.0,,"Kamalanagar, Ananthapur",,2014-11-09
193.0,09-11-15,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",10.0,14.0,97.0,,"Head Office, Bamunimaidan, Guwahati",,2015-11-09
566.0,09-12-14,Assam,Daranga,Assam State Pollution Control Board,"Residential, Rural and other Areas",4.0,8.0,32.0,,"Daranga, Baska district, BATAD,Assam near Sandoop Jhankar town of Bhutan",,2014-12-09
389.0,09-12-15,Andhra Pradesh,Tirupati,Andhra Pradesh State Pollution Control Board,Sensitive Area,5.0,11.0,60.0,,"Regional Science Centre, Chittoor Bypass Road, Tirupati",,2015-12-09
36,1/1/1988,Goa,Ponda,Goa Pollution Control Board,,3.3,12.2,,84.0,,,1988-01-01
55,1/1/2003,Delhi,Delhi,Central Pollution Control Board,Industrial Area,,34.0,149.0,205.0,,,2003-01-01
